Model,Dataset,RMSE,R2
Linear Regression,house,35567.42883296767,0.8337727812506143
Linear Regression,energy,95.8483581722594,0.2355958959065746
XGBoost (Default),house,28340.881567093144,0.8944583535194397
XGBoost (Default),energy,74.37781966818973,0.539700448513031
XGBoost (Tuned),house,24605.90368184026,0.9204434752464294
XGBoost (Tuned),energy,66.80429235133398,0.628667950630188
TabNet,house,192224.9242528138,-3.855306625366211
TabNet,energy,83.61069921629348,0.4183290600776672
FT-Transformer,house,194711.83549029572,-3.981750011444092
FT-Transformer,energy,80.58377398028867,0.4596827030181885
