Model,Dataset,RMSE,R2
Linear Regression,house,22892.466717499447,0.8209280809122584
Linear Regression,energy,99.76386010355604,0.1718669001959578
XGBoost (Default),house,20059.060795560694,0.8625124096870422
XGBoost (Default),energy,74.79461134813624,0.5345271825790405
XGBoost (Tuned),house,16393.198589659067,0.908173143863678
XGBoost (Tuned),energy,66.6677498284403,0.6301843523979187
TabNet,house,174146.5284638198,-9.362675666809082
TabNet,energy,84.29861994255155,0.4087181091308594
FT-Transformer,house,176648.2316922533,-9.662545204162598
FT-Transformer,energy,82.28886334887608,0.4365754127502441
